Espessura,Velocidade,Tempo,Ciclos,Temperatura,Humidade,Percurso,T_Caixa,T_Direta,T_i,T_f
372.1196255,865,120,5,20,42,59,79,116,0,0
374.2809932,880,120,5,20,42,59,79,116,0,0
376.4654782,895,120,5,20,42,59,79,116,0,0
378.6714092,910,120,5,20,42,59,79,116,0,0
380.8972349,925,120,5,20,42,59,79,116,0,0
383.1415137,940,120,5,20,42,59,79,116,0,0
385.4029052,955,120,5,20,42,59,79,116,0,0
387.6801613,970,120,5,20,42,59,79,116,0,0
389.9721195,985,120,5,20,42,59,79,116,0,0
392.2776957,1000,120,5,20,42,59,79,116,0,0
394.5958783,1015,120,5,20,42,59,79,116,0,0
396.9257225,1030,120,5,20,42,59,79,116,0,0
399.2663455,1045,120,5,20,42,59,79,116,0,0
401.6169215,1060,120,5,20,42,59,79,116,0,0
403.9766778,1075,120,5,20,42,59,79,116,0,0
406.3448907,1090,120,5,20,42,59,79,116,0,0
408.7208822,1105,120,5,20,42,59,79,116,0,0
411.1040165,1120,120,5,20,42,59,79,116,0,0
413.4936971,1135,120,5,20,42,59,79,116,0,0
415.8893642,1150,120,5,20,42,59,79,116,0,0
418.2904921,1165,120,5,20,42,59,79,116,0,0
420.6965866,1180,120,5,20,42,59,79,116,0,0
423.1071835,1195,120,5,20,42,59,79,116,0,0
425.5218458,1210,120,5,20,42,59,79,116,0,0
427.9401626,1225,120,5,20,42,59,79,116,0,0
430.361747,1240,120,5,20,42,59,79,116,0,0
432.7862348,1255,120,5,20,42,59,79,116,0,0
435.2132829,1270,120,5,20,42,59,79,116,0,0
437.6425677,1285,120,5,20,42,59,79,116,0,0
440.0737844,1300,120,5,20,42,59,79,116,0,0
442.5066456,1315,120,5,20,42,59,79,116,0,0
444.9408801,1330,120,5,20,42,59,79,116,0,0
447.3762321,1345,120,5,20,42,59,79,116,0,0
449.81246,1360,120,5,20,42,59,79,116,0,0
452.249336,1375,120,5,20,42,59,79,116,0,0
454.6866447,1390,120,5,20,42,59,79,116,0,0
457.1241831,1405,120,5,20,42,59,79,116,0,0
459.561759,1420,120,5,20,42,59,79,116,0,0
461.999191,1435,120,5,20,42,59,79,116,0,0
464.4363079,1450,120,5,20,42,59,79,116,0,0
466.8729476,1465,120,5,20,42,59,79,116,0,0
469.3089571,1480,120,5,20,42,59,79,116,0,0
471.7441917,1495,120,5,20,42,59,79,116,0,0
474.1785146,1510,120,5,20,42,59,79,116,0,0
476.6117967,1525,120,5,20,42,59,79,116,0,0
479.0439157,1540,120,5,20,42,59,79,116,0,0
481.4747561,1555,120,5,20,42,59,79,116,0,0
483.9042087,1570,120,5,20,42,59,79,116,0,0
486.3321703,1585,120,5,20,42,59,79,116,0,0
488.7585434,1600,120,5,20,42,59,79,116,0,0
491.1832357,1615,120,5,20,42,59,79,116,0,0
493.6061602,1630,120,5,20,42,59,79,116,0,0
496.0272346,1645,120,5,20,42,59,79,116,0,0
498.446381,1660,120,5,20,42,59,79,116,0,0
500.8635261,1675,120,5,20,42,59,79,116,0,0
503.2786004,1690,120,5,20,42,59,79,116,0,0
505.6915387,1705,120,5,20,42,59,79,116,0,0
508.1022789,1720,120,5,20,42,59,79,116,0,0
